Dataset,Max Gini Index,Min Gini Index,Mean Gini Index
ProximalPhalanxTW,0.7781941204988002,0.056063775861069365,0.308075627595214
RefrigerationDevices,0.9597262966347524,0.00451941781550802,0.4099324561505041
Rock,0.8823919494177835,0.37030205242918357,0.5987740764262083
ScreenType,0.9982638888888888,0.0,0.6817896549056021
SemgHandGenderCh2,0.7902030446373096,0.19801266267886464,0.47847237724251784
SemgHandMovementCh2,0.7902030446373096,0.19801266267886464,0.4738520760102489
SemgHandSubjectCh2,0.7902030446373096,0.19801266267886464,0.4724130747852308
ShapesAll,0.8928067599679531,0.04880396909225526,0.3811586426273639
SmallKitchenAppliances,0.9982638888888888,0.0,0.7580360480375237
SmoothSubspace,0.6219600213646042,0.003471378647285639,0.1588413548011247
SonyAIBORobotSurface1,0.5553046034376737,0.019866358105496418,0.28901210636998903
SonyAIBORobotSurface2,0.6712476120204042,0.02456752846857857,0.31090711184572306
StarLightCurves,0.8583025002183434,0.13768992876542352,0.45362689161059633
Strawberry,0.7674459963166892,0.11728554735944108,0.43745687664593513
SwedishLeaf,0.7526491554760399,0.00980679341745272,0.3200146740449311
Symbols,0.714800644483697,0.1017179590577113,0.3853857500279042
ToeSegmentation1,0.6648241160364908,0.042802774351660355,0.36250856201182474
ToeSegmentation2,0.7340673167182891,0.08311114276338327,0.400466425573631
UMD,0.8450135009234327,0.03691338991265436,0.3681045566425696
UWaveGestureLibraryAll,0.9736964875413621,0.15609142284270972,0.46669506696014784
UWaveGestureLibraryX,0.943345562759144,0.062138022199061504,0.392119679022425
UWaveGestureLibraryY,0.9411729974991707,0.0740783849632638,0.39030793383547085
UWaveGestureLibraryZ,0.9584572498355415,0.05582690266955781,0.3951160439297099
Wafer,0.9492492727071637,0.025896126232682448,0.4169021629105541
Wine,0.795645219483636,0.267439818353274,0.5157864861494691
WordSynonyms,0.8023140508859148,0.08280172376714112,0.42920206951727946
Worms,0.9658892144875894,3.902508655118098e-06,0.404948413850301
WormsTwoClass,0.9658892144875894,3.902508655118098e-06,0.404948413850301
Yoga,0.7889531522600337,0.11301228032959432,0.3709917403989095
