Dataset,Max_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Min_Gini_Index
InsectEPGRegularTrain,0.6978106359174969,0.05342439250609134,0.023037852564051498,0.0010057824529187132
InsectEPGSmallTrain,0.715268034166031,0.047142791179668735,0.01994422962095571,0.0010285217228882537
InsectWingbeatSound,0.9077578142628554,0.4599630221823513,0.4800184037317263,0.011317766254610118
ItalyPowerDemand,0.6801502477820331,0.4095745248676578,0.4072719166311528,0.1127455530705952
LargeKitchenAppliances,0.980758624154979,0.4572575424541336,0.42964406075243455,0.022109080103275836
Lightning2,0.9018357644390096,0.4659187841987281,0.4519490278290291,0.0429749592569415
Lightning7,0.946155947011299,0.4786595405431141,0.4701064910118629,0.06507792115982958
Mallat,0.7462048603840825,0.34042288380304386,0.3637937839529515,0.006932434094484963
Meat,0.7002203465824726,0.2945666028248644,0.26366232287046476,0.008845499307053917
MedicalImages,0.9006631989599708,0.45054757559763625,0.4363934561206474,0.016369961512512576
MiddlePhalanxOutlineAgeGroup,0.6139381528843908,0.36332731088086845,0.3715007174735161,0.04605292445513509
MiddlePhalanxOutlineCorrect,0.6110621990193701,0.3678693992596039,0.37517741916014097,0.03200142427641217
MiddlePhalanxTW,0.6066008415621276,0.36481123729435555,0.3735994854253425,0.03761101501259145
MixedShapesRegularTrain,0.6737365036377537,0.26334586365216817,0.2988530780615267,0.002709232533877448
MixedShapesSmallTrain,0.6129909008529284,0.26163535753128986,0.30165462474100857,0.0031565858234492428
MoteStrain,0.8733786857272902,0.4578891290625887,0.46347087272129905,0.03649807208579181
NonInvasiveFetalECGThorax1,0.8162707076964794,0.4020208767300797,0.4043086217712395,0.010626353177765502
NonInvasiveFetalECGThorax2,0.8337754634509918,0.38532068404452446,0.3778208720503284,0.010275594851776981
OSULeaf,0.5838632102303105,0.338155003924105,0.36336660962489914,0.01427252673934587
OliveOil,0.7522880706106585,0.3904533167261468,0.3927204642602415,0.0122932582673414
PhalangesOutlinesCorrect,0.6585035666783142,0.36609941610099483,0.3727607556757715,0.03788466122549761
