Dataset,Max_Sparsity_PPVs,Mean_Sparsity_PPVs,Median_Sparsity_PPVs,Min_Sparsity_PPVs
ECGFiveDays,99.99999999999999,3.468128156485665,2.0725388601036268,1.0989010989010988
EOGHorizontalSignal,99.99999999999999,3.6441686592622293,2.163752812878657,1.0989010989010988
EOGVerticalSignal,99.99999999999999,3.770690696181255,2.1876093804690235,1.0989010989010988
Earthquakes,99.99999999999999,2.6694819899814592,2.2336619841200593,1.0989010989010988
ElectricDevices,99.99999999999999,5.1118277517091455,2.1739130434782608,1.0989010989010988
EthanolLevel,99.99999999999999,17.834767800926738,2.111393809311355,1.0989010989010988
FaceAll,99.99999999999999,2.4537279313127387,2.1485891793942535,1.0989010989010988
FaceFour,99.99999999999999,2.801748883737232,2.138057422113622,1.0989010989010988
FacesUCR,99.99999999999999,2.614370888400376,2.157799374073464,1.0989010989010988
FiftyWords,99.99999999999999,6.43583522310775,2.255639097744361,1.0989010989010988
Fish,99.99999999999999,13.102747335103734,2.2240442759044785,1.0989010989010988
FordA,99.99999999999999,2.665615132902698,2.1404109589041096,1.0989010989010988
FordB,99.99999999999999,2.5279607229039542,2.1739130434782608,1.0989010989010988
FreezerRegularTrain,99.99999999999999,8.657151914048857,2.0474797632814092,1.0989010989010988
FreezerSmallTrain,99.99999999999999,8.469830030389764,2.284808011801452,1.0989010989010988
Fungi,99.99999999999999,3.681570263295331,2.1633839199225053,1.0989010989010988
GunPoint,99.99999999999999,8.045033978518164,2.099236641221374,1.0989010989010988
GunPointAgeSpan,99.99999999999999,3.8366715486966534,2.1739130434782608,1.0989010989010988
GunPointMaleVersusFemale,99.99999999999999,3.7543447262074583,2.1739130434782608,1.0989010989010988
GunPointOldVersusYoung,99.99999999999999,4.184542735690939,2.1739130434782608,1.0989010989010988
Ham,99.99999999999999,3.2590269718617026,2.167368497069841,1.0989010989010988
HandOutlines,99.99999999999999,17.74636506282701,2.1668446278470443,1.0989010989010988
Haptics,99.99999999999999,11.381398483066603,2.16482393384744,1.0989010989010988
Herring,99.99999999999999,11.604967160060639,2.188944782922979,1.0989010989010988
HouseTwenty,99.99999999999999,2.289676623589886,2.169668040789759,1.0989010989010988
InlineSkate,99.99999999999999,16.661456555001255,2.3471602105210643,1.0989010989010988
InsectEPGRegularTrain,99.99999999999999,36.49890780861251,3.430169510872667,1.0989010989010988
InsectEPGSmallTrain,99.99999999999999,35.26911412708374,1.6145066738189109,1.0989010989010988
InsectWingbeatSound,99.99999999999999,4.837952274304625,2.190655485195961,1.0989010989010988
ItalyPowerDemand,99.99999999999999,5.812531214521353,2.1739130434782608,1.0989010989010988
LargeKitchenAppliances,99.99999999999999,9.932571164847436,1.810454407367731,1.0989010989010988
Lightning2,99.99999999999999,5.283469597739342,2.093535346895849,1.0989010989010988
Lightning7,99.99999999999999,5.089099430010912,2.2577879394112603,1.0989010989010988
Mallat,99.99999999999999,6.171050841773543,2.1849307354431806,1.0989010989010988
Meat,99.99999999999999,8.70596087057389,2.135694751920823,1.0989010989010988
MedicalImages,99.99999999999999,8.23211239399567,2.1426287176207226,1.0989010989010988
MelbournePedestrian,99.99999999999999,4.492282060512381,2.1739130434782608,1.0989010989010988
MiddlePhalanxOutlineAgeGroup,99.99999999999999,5.111150790020873,2.1739130434782608,1.0989010989010988
MiddlePhalanxOutlineCorrect,99.99999999999999,5.461133516247873,2.1739130434782608,1.0989010989010988
MiddlePhalanxTW,99.99999999999999,5.358947706700509,2.1739130434782608,1.0989010989010988
MixedShapesRegularTrain,99.99999999999999,12.466401860184213,2.1986353297952994,1.0989010989010988
MixedShapesSmallTrain,99.99999999999999,13.062490392692695,2.207657813038979,1.0989010989010988
MoteStrain,99.99999999999999,4.87061149757932,2.12443095599393,1.0989010989010988
NonInvasiveFetalECGThorax1,99.99999999999999,6.399327696760627,2.163588390501319,1.0989010989010988
NonInvasiveFetalECGThorax2,99.99999999999999,6.3903082517853065,2.248621128553246,1.0989010989010988
OSULeaf,99.99999999999999,6.2561318539563056,2.202335986983555,1.0989010989010988
OliveOil,99.99999999999999,5.209801335271063,2.123050259965338,1.0989010989010988
