Dataset,Max Gini Index,Mean Gini Index,Median Gini Index,Min Gini Index
MiddlePhalanxTW,0.4667808100581487,0.36295051783839294,0.37474269269823923,0.06637773295059884
MixedShapesRegularTrain,0.5150815720838668,0.26901099791462424,0.3246521794383441,0.007729480458183052
MixedShapesSmallTrain,0.5065495701537647,0.26459592540308213,0.3201275487854101,0.0061168528576817345
MoteStrain,0.703059161123188,0.46160789587365675,0.4681603081346512,0.07328867850443166
NonInvasiveFetalECGThorax1,0.7891231387271885,0.39111977741794524,0.3881219918555715,0.033321197242619734
NonInvasiveFetalECGThorax2,0.7747514682509596,0.3916007148520069,0.399428639215945,0.02124341064334427
OSULeaf,0.48741150163186964,0.3359138117838654,0.36135996341152654,0.0495272600335517
OliveOil,0.744289732806768,0.3958302693994158,0.3970748001690534,0.03080428262275062
PhalangesOutlinesCorrect,0.46841180748179323,0.36399486999099784,0.37362451203323954,0.0369386440617277
Phoneme,0.5516548122284621,0.45384150524706457,0.46699187269740533,0.14979772698435717
PigAirwayPressure,0.6569005754310074,0.33720481083170745,0.3499651745297263,0.03559498002700715
PigArtPressure,0.5909119740143127,0.4583687262785864,0.4630987395241809,0.17887401154619895
PigCVP,0.4630521527089485,0.3911700925665707,0.4046655732771488,0.09074892441927651
Plane,0.48366875782403945,0.3423749497474737,0.34931795738380733,0.06607933662162731
PowerCons,0.6498733880970365,0.4405022517061374,0.4359627320270306,0.07564054510090383
ProximalPhalanxOutlineAgeGroup,0.46772306069441055,0.36529246779684926,0.3783522136557288,0.05350943127204233
ProximalPhalanxOutlineCorrect,0.47360914009794014,0.36444870541029356,0.3738253323840468,0.05095096887134684
ProximalPhalanxTW,0.4947016688176943,0.3632241692297995,0.37443583087800103,0.0627246401911665
RefrigerationDevices,0.7165404493392392,0.432269083811266,0.42152503554044163,0.16210778324272596
Rock,0.6389792994703011,0.48027124021135126,0.509241727389516,0.062250858926034346
ScreenType,0.7931663235093293,0.42823778937451895,0.4064763545823956,0.12762342594966475
SemgHandGenderCh2,0.5104057100293476,0.4976056286090703,0.4979864154633692,0.4867588152358727
SemgHandMovementCh2,0.5071924461217788,0.49486067688612434,0.49511746769757636,0.481779571316673
SemgHandSubjectCh2,0.5040966596536506,0.4943550504990575,0.49476183854427297,0.4812292251178808
ShapeletSim,0.42695457732449016,0.4039922365115112,0.4046522097360471,0.36393655067977565
ShapesAll,0.4651758468014163,0.2912494302997337,0.33480502148259905,0.026196759103366413
SmallKitchenAppliances,0.947356067173498,0.48597117128257905,0.4538559541444974,0.08479398861695506
SmoothSubspace,0.43071518630935285,0.36050617840052196,0.37486686590886487,0.11510994965184118
SonyAIBORobotSurface1,0.5012469405892077,0.44288476941837474,0.4550726049600545,0.1465192666506987
SonyAIBORobotSurface2,0.542230972200243,0.48388293320014825,0.49223711214388544,0.26591603419790566
StarLightCurves,0.5606682854695841,0.2092552750150259,0.16687960330044496,0.0016669613091553508
Strawberry,0.5859661741009219,0.3572470055342474,0.36045084746320344,0.01847711477201087
SwedishLeaf,0.5151972016853018,0.3560388748643791,0.37132306679415095,0.07124084732182416
Symbols,0.5233769993157629,0.20792410331074151,0.1963607757616031,0.010623679725393256
SyntheticControl,0.41484312631688364,0.39635772389533186,0.39729438593770566,0.32373397414937366
ToeSegmentation1,0.5474412793784047,0.42274865699724806,0.44510946257193457,0.10403097638778998
ToeSegmentation2,0.5449847090419747,0.38721118817637784,0.40578476188103224,0.039504720858744714
Trace,0.7357137471182769,0.29927604121563645,0.2635425712540318,0.04029750343585868
TwoLeadECG,0.6639431518492886,0.4241110420568442,0.4517927269760044,0.07903235838327315
TwoPatterns,0.6503730136976186,0.47952991691523983,0.4814675677892344,0.2599710530650845
UMD,0.7907364886569237,0.26882297799958577,0.219711563806892,0.027976670800199117
UWaveGestureLibraryAll,0.7133445679886579,0.3611640036768393,0.3884077096014499,0.04547264275567174
UWaveGestureLibraryX,0.5184806571099015,0.28733267251890576,0.29713161510329095,0.018668433463101604
UWaveGestureLibraryY,0.523763516149663,0.27061076645986193,0.2796931838177744,0.018212675416783324
UWaveGestureLibraryZ,0.5380467890029431,0.28925140278199457,0.30053966499598384,0.009423701572923883
Wafer,0.8746817755640071,0.4493566337252619,0.43753967501710783,0.10280847417536616
Wine,0.702376404397657,0.4018285109376152,0.4085229955461135,0.020184480800793568
WordSynonyms,0.5903246543382549,0.37000005245830353,0.39046810636681584,0.04750915529852403
Worms,0.4496983879178998,0.31671736573261594,0.34423924250270954,0.043994651187973334
WormsTwoClass,0.45592012678061544,0.31810719903253915,0.3434708360007386,0.03297644168287508
Yoga,0.4719971737333508,0.28705351954869923,0.3190788439262115,0.011740530444364463

