Dataset,Max_S_k,Mean_S_k,Median_S_k,Min_S_k
SemgHandGenderCh2,1353.9888652202299,247.3885976339984,6.980978638227796,-0.8578205128205125
SemgHandMovementCh2,1144.7338500325452,224.54110532432315,0.7347195767195773,-11.596623761424267
SemgHandSubjectCh2,1271.1545514617833,223.93236290762667,10.543203000438043,-0.7865925925925925
ShapeletSim,32.58787887450167,6.831011459142675,0.5286277660331555,-0.125
ShapesAll,23.527535034624375,2.383965574450406,0.04436848958333339,-5.4196256527843225
SmallKitchenAppliances,134.9316408838562,24.175494998312267,0.7884074074074084,-0.7840740740740741
SmoothSubspace,5.580053740849468,0.6482972265833958,0.2008888888888889,-0.925739077944757
SonyAIBORobotSurface1,31.788617835311527,4.497492402873161,0.5800000000000002,-5.307334616809244
SonyAIBORobotSurface2,38.07065334694376,5.6528368705749195,0.47993458518862475,-0.5407407407407405
StarLightCurves,26.028333514586976,1.8026223753867205,0.18641301296359924,-9.088895616941512
Strawberry,25.221635890504093,2.820939437989415,0.45562397776567287,-12.603339241425775
SwedishLeaf,27.464910689342812,3.2516660783488884,0.31864285599708275,-8.180591187909899
Symbols,17.57977837066773,1.6943100792343364,0.4131912813434555,-8.090670054840697
SyntheticControl,20.200194897220243,3.6043601184604013,0.1433333333333333,-0.16166666666666663
ToeSegmentation1,28.513045187625607,4.161365342695371,0.19769324065867444,-1.0326487051400544
ToeSegmentation2,27.181907919335565,3.6962585286449228,0.22329698809574083,-1.6575516811274396
Trace,26.33580254245276,3.172144770412813,0.4823110162710057,-7.990037265317734
TwoLeadECG,27.227991064956495,3.57825307089533,0.5506236329416521,-12.018411377127856
TwoPatterns,33.50623993208188,5.495845957789165,0.04662500000000003,-0.1428432464207905
UMD,11.098466617297971,1.36099728711914,0.08692129629629619,-1.120398860575221
UWaveGestureLibraryAll,27.278107855330166,4.134563985256138,0.1827191024301167,-0.6121989640733816
UWaveGestureLibraryX,19.22038001018955,2.277668142480439,0.04236341935617738,-0.9983381472921093
UWaveGestureLibraryY,21.295144199961438,1.9697260169193271,0.046455357142856646,-1.8685351425173504
UWaveGestureLibraryZ,24.140729691980447,2.2491975922269023,0.05391038359788336,-1.958301786484475
Wafer,30.045047105774326,5.194906384846661,0.36947727272727326,-4.526435525308109
Wine,32.34474954595491,3.8548040904118994,0.5444724781109214,-14.754719027828315
WordSynonyms,33.06052373398884,3.716476562791661,0.24319049872985332,-2.462202975300778
Worms,23.440865639184263,3.1322862394280175,0.042304441022854244,-0.5847693395394165
WormsTwoClass,27.665392752960628,3.1174696417268666,0.04428389290267776,-0.4774915638642582
Yoga,23.07230114547076,2.280994012108693,0.07187371140422782,-6.15907018647443
