Dataset,Max GI,Median GI,Min GI,Max S,Median S,Min S,Mean S,Max PPV,Median PPV,Min PPV,Mean PPV
DodgerLoopWeekend,,,,0.41724137931034466,-0.11831896551724136,-0.39568965517241383,-0.06495689655172412,0.8405172413793104,0.47844827586206895,0.0,0.46752155172413795
ECG200,0.5744263362252661,0.33035047848297294,0.05783497590975989,0.24871794871794872,-0.019230769230769162,-0.5156410256410255,-0.02824410256410254,0.782051282051282,0.48717948717948717,0.05128205128205128,0.48587794871794876
ECG5000,0.6191229689484687,0.36728276592352493,0.11611358450078017,0.31392857142857156,-0.0028214285714285303,-0.41196428571428567,-0.04165642857142858,1.0,0.5,0.0,0.4791717857142858
ECGFiveDays,0.8314235528663229,0.3573264536466043,0.10588486389341807,0.42292490118577075,0.011067193675889486,-0.24584980237154141,0.04685217391304347,1.0,0.509090909090909,0.2727272727272727,0.5234260869565217
EOGHorizontalSignal,0.7211163237263701,0.6874299883605937,0.4997588279587734,0.04791160220994484,-0.0015607734806629692,-0.024834254143646484,0.0010455027624309502,1.0,0.499,0.081,0.5005227513812155
EOGVerticalSignal,0.6962486006902282,0.67097868711002,0.49982820265460604,0.021331491712707207,-0.0035359116022100623,-0.019762430939226472,-0.0031128397790055103,1.0,0.5,0.0,0.49844358011049733
Earthquakes,0.6190979598455627,0.3280553832467403,0.265531994360269,0.09912134525071936,-0.0018785032570822202,-0.39789425844569004,0.00013773670655963067,0.7658536585365854,0.5,0.11463414634146342,0.5000688683532799
ElectricDevices,0.678430062299912,0.35724679979889506,0.09454078052083346,0.203634441590973,-0.0329719574622106,-0.39960185456488395,-0.07338615511010764,1.0,0.48717948717948717,0.0,0.46330692244494615
EthanolLevel,0.6875741466964609,0.5859422950717745,0.26807519569417815,0.27800720573739834,-0.013958283765564294,-0.23326592116742018,-0.033848373610686246,0.6995003568879372,0.4889364739471806,0.30692362598144185,0.48307581319465687
FaceAll,0.49124660071060444,0.3332007975156794,0.13774967259620766,0.2549319727891157,0.02794217687074818,-0.23911564625850346,0.008014829931972767,0.9523809523809523,0.5047619047619047,0.0,0.5040074149659864
FaceFour,0.5735696253268406,0.38903575713385297,0.24463662183435156,0.07053571428571415,0.00014880952380952328,-0.14196428571428577,-0.004360714285714289,0.6464285714285715,0.5,0.2785714285714286,0.4978196428571428
FacesUCR,0.5051787721141767,0.3330654286516067,0.1459915694640159,0.23685714285714288,0.017285714285714238,-0.21485714285714286,0.009628571428571422,1.0,0.5047619047619047,0.0,0.5048142857142858
FiftyWords,0.57997039575855,0.4024543919703194,0.25649621484764873,0.20168724279835404,0.03252057613168724,-0.16952674897119335,0.03791242798353908,0.9629629629629629,0.5138888888888888,0.16666666666666666,0.5189562139917695
Fish,0.6504776989433432,0.2864540940462816,0.11002010291397214,0.36733153638814,0.0046207162110127875,-0.3721986907970736,0.01029532537543319,0.7924528301886793,0.5040431266846361,0.2371967654986523,0.5051476626877166
FordA,0.5890727174177527,0.3612985997004564,0.25871039027950177,0.0048694806998055284,0.0001818939183559909,-0.002975562343793481,0.0003122132740904968,0.935,0.5,0.0625,0.5001561066370452
FordB,0.55712061958893,0.33779850321824134,0.2604475149357944,0.002468371837183625,3.437843784381833e-05,-0.0037321232123211923,-0.00014636413641367073,0.9225,0.5,0.0475,0.49992681793179317
FreezerRegularTrain,0.8598388926310304,0.5816466672887154,0.3776868515230361,0.625283540802213,0.07590594744121704,-0.26793914246196415,0.19842301521438444,0.9336099585062241,0.5518672199170125,0.2033195020746888,0.5992115076071922
FreezerSmallTrain,0.8578949247388294,0.5931295550053624,0.3978770873233339,0.65411973918198,0.08965619442797856,-0.2812685240071132,0.207045643153527,0.9294605809128631,0.5560165975103735,0.2946058091286307,0.6035228215767635
Fungi,0.7804920973307046,0.5157830402629136,0.18382750290567257,0.2587991718426501,0.012767425810904065,-0.31055900621118004,0.02029537612146307,0.8385093167701864,0.515527950310559,0.055900621118012424,0.5101476880607315
GunPoint,0.6934241054993929,0.3182465823624657,0.07022730865409044,0.17866666666666675,0.01416666666666666,-0.1413333333333333,0.0015013333333333278,0.8833333333333333,0.5,0.175,0.5007506666666667
GunPointAgeSpan,0.6819487184131952,0.3248074011223534,0.12891291876557875,0.9951851851851854,0.019753086419753152,-0.8730864197530864,0.10407604938271602,1.0,0.5083333333333333,0.0,0.552038024691358
GunPointMaleVersusFemale,0.6733191719079882,0.3215272465110268,0.12861425019256756,0.9935802469135802,0.03043209876543207,-0.8720987654320987,0.10932888888888888,1.0,0.5083333333333333,0.0,0.5546644444444444
GunPointOldVersusYoung,0.6686608395762756,0.32454883163784976,0.12190735449066571,0.9968137254901961,0.029656862745097934,-0.876593137254902,0.10193235294117647,1.0,0.5083333333333333,0.0,0.5509661764705882
Ham,0.6395057319499092,0.44933191053313404,0.2789856961217955,0.2261135487302215,-0.01380135620263262,-0.2816380800425474,-0.02893551389442893,0.6927536231884058,0.4927536231884058,0.25217391304347825,0.4855322430527855
HandOutlines,0.5917311037979416,0.4680684662068114,0.09466783932357282,0.1089635776855693,0.0003075149838634994,-0.07664453665283533,0.00787780544029506,0.677731673582296,0.5020746887966805,0.3135085292761641,0.5039389027201474
Haptics,0.619075287437289,0.335636323381856,0.21816624347214406,0.06253783125415224,-0.013921901528013536,-0.293201446814793,-0.06057908023916734,0.6361556064073226,0.4839816933638444,0.2128146453089245,0.4697104598804163
Herring,0.5067377883881635,0.3435289202618352,0.1582729724762602,0.2836890243902439,-0.034375000000000044,-0.3779725609756097,-0.0323378048780488,0.7195121951219512,0.4853658536585366,0.2658536585365854,0.48383109756097564
HouseTwenty,0.8419751948093881,0.6522753373485666,0.5204801500579739,0.13015624999999997,0.006937500000000041,-0.03409374999999992,0.029052625000000012,0.723125,0.506875,0.365625,0.5145263125
InlineSkate,0.6477073463689719,0.5352814808352186,0.29817133998625817,0.168605577689243,0.06519920318725103,-0.004262948207171213,0.06347245683930944,0.7702523240371846,0.5106241699867198,0.3041168658698539,0.5317362284196546
InsectEPGRegularTrain,0.6364245918292383,0.5795370434626075,0.2851583446680886,0.23043390785326268,-0.012541077057206307,-0.326805713902488,-0.047164375293407515,1.0,0.49064449064449067,0.0395010395010395,0.4764178123532962
InsectEPGSmallTrain,0.6688602209466664,0.602617256424427,0.2609840803349119,0.21658309893604,-0.011862541274305971,-0.2711263299498593,-0.035821450409685686,1.0,0.49064449064449067,0.07484407484407485,0.4820892747951571
InsectWingbeatSound,0.7146634229452188,0.4627948055898415,0.2932545948591187,0.3899382171226835,0.02667696381288609,-0.34598411297440423,0.044313327449249755,1.0,0.5145631067961165,0.09223300970873786,0.5221566637246249
ItalyPowerDemand,0.4598946296656285,0.17251751557592604,0.006020238076644053,0.18358208955223887,0.05447761194029854,-1.0,-0.12143880597014928,1.0,0.5,0.0,0.4392805970149254
