Dataset,Max_Gini_Index,Min_Gini_Index,Mean_Gini_Index,Median_Gini_Index,Max_sparsity_PPV,Min_sparsity_PPV,Mean_sparsity_PPV,Median_sparsity_PPV
InsectEPGSmallTrain,0.8625852903513822,0.11003856616375662,0.5726076538264251,0.5972885248970441,0.91,0.0230977130977131,0.45844907667848844,0.46093555093555094
InsectWingbeatSound,0.9267412422242526,0.058039887080116204,0.48127645414761316,0.4761190540535953,0.91,0.058058252427184466,0.4548385635481024,0.46
ItalyPowerDemand,0.6494549141136428,0.0010929974138328413,0.17241301813148915,0.1483778921434324,0.91,0.010000000000000002,0.4001553731343284,0.46
LargeKitchenAppliances,0.9982638888888888,0.0,0.814038463339742,0.8390828706849189,0.8115625000000001,0.010000000000000002,0.3021784833333334,0.306875
Lightning2,0.9093071748621891,0.23008494336188412,0.6437247238950854,0.6536659590906528,0.6616634050880627,0.038180039138943245,0.4295104892367906,0.44679060665362036
Lightning7,0.9372599507746264,0.12426205925688583,0.5463102157882207,0.5397276249909768,0.7454085603112841,0.010000000000000002,0.4270678543635353,0.4477431906614786
Mallat,0.9821877290255127,0.13362392216175767,0.5025779256803323,0.4718932763708061,0.5993902439024391,0.3041463414634147,0.4559291064301553,0.45890243902439026
Meat,0.7901507050120058,0.19060682173914056,0.5645450250151589,0.5772464908179913,0.7000000000000001,0.18500000000000003,0.4353675000000001,0.45
MedicalImages,0.9446870197305319,0.008021286755495183,0.39542646444239254,0.36940403817764994,0.91,0.010000000000000002,0.4698716535433071,0.4655555555555556
MelbournePedestrian,,,,,0.91,0.010000000000000002,0.5321582160804018,0.505
MiddlePhalanxOutlineAgeGroup,0.7943291148668208,0.014163041876202653,0.26213313281116724,0.26470967073070695,0.91,0.17875000000000002,0.5031578828125001,0.5021875
MiddlePhalanxOutlineCorrect,0.8158127626611126,0.014163041876202653,0.2622263247746727,0.26517845442893273,0.91,0.17875000000000002,0.5030113515624999,0.5021875
MiddlePhalanxTW,0.7943291148668208,0.014163041876202653,0.2604734881833378,0.2640638241483943,0.91,0.17875000000000002,0.5031094572368422,0.5021875
MixedShapesRegularTrain,0.8516258703690339,0.0867381913021732,0.42076578071514914,0.4238545220433182,0.8265853658536586,0.09560975609756098,0.45192424731707337,0.4578048780487805
MixedShapesSmallTrain,0.7936268416553505,0.08756718600983215,0.4165914663220945,0.420787345545972,0.8265853658536586,0.09560975609756098,0.45171247073170734,0.45670731707317075
MoteStrain,0.896760536834982,0.023750958879576456,0.2875492794182832,0.28854258397392846,0.91,0.20852941176470588,0.47538338235294125,0.46
NonInvasiveFetalECGThorax1,0.7560199911799474,0.12399754645353522,0.4589378894684246,0.4607731305608764,0.688,0.21100000000000002,0.4357543008333334,0.4525
NonInvasiveFetalECGThorax2,0.7759016480091514,0.12974456750226238,0.47488296923760526,0.47851949483194894,0.6565000000000001,0.214,0.4349661908333334,0.4525
OSULeaf,0.6498334545160129,0.022486370974317382,0.3201018928908281,0.3268623959179384,0.726326530612245,0.18580174927113702,0.4581459344023325,0.46131195335276975
OliveOil,0.8472635091645251,0.2521483615552462,0.5244630510501149,0.5156044703595178,0.6692105263157895,0.2330263157894737,0.44346565789473685,0.454078947368421
PhalangesOutlinesCorrect,0.8158127626611126,0.012724597978349017,0.26320772407848086,0.26755656888426466,0.91,0.17875000000000002,0.5011766562499997,0.5021875
Phoneme,0.8835530866182988,0.011709824765674393,0.4157851334013201,0.41068556090747066,0.7585365853658537,0.2108536585365854,0.4604459226122635,0.46
PigAirwayPressure,0.8132361184382316,0.146910775836969,0.6062420655730065,0.6362141952935167,0.658,0.19225000000000003,0.4532542782451923,0.4583125
PigArtPressure,0.8275943701393746,0.0361764317517399,0.36402570112079197,0.3623175032697832,0.7159375000000001,0.2378125,0.4666569981971154,0.461125
PigCVP,0.8008541510860068,0.0548170741186742,0.3482659083352078,0.3512164545582745,0.61525,0.29068750000000004,0.45712080048076914,0.45887500000000003
Plane,0.6809571982849831,0.007519094118672687,0.268383784428321,0.2863823097787039,0.8013793103448276,0.010000000000000002,0.42256450738916257,0.4444827586206897
PowerCons,0.8095589943404343,0.009365354336558496,0.34861040577448105,0.34534224889456,0.91,0.010000000000000002,0.4576179741379311,0.46
ProximalPhalanxOutlineAgeGroup,0.784579004201928,0.017291794790127324,0.26361457969841207,0.2666105413720168,0.91,0.17875000000000002,0.5003415859375001,0.5021875
ProximalPhalanxOutlineCorrect,0.7930500960345126,0.017013785826430317,0.2652453622863053,0.2682418740087264,0.91,0.17875000000000002,0.5001512734375001,0.5021875
ProximalPhalanxTW,0.784579004201928,0.016758526731179058,0.26429584161253,0.2671724582520908,0.91,0.17875000000000002,0.5002366796875001,0.5021875
RefrigerationDevices,0.9597262966347524,0.005186630201021281,0.37706960323017635,0.36757571115765686,0.76,0.0709375,0.4495469000000001,0.4584375
Rock,0.8893536927037924,0.28146132827606174,0.5866087416207112,0.5907402792818468,0.7261247803163445,0.32594903339191567,0.47399498022847103,0.46276801405975393
ScreenType,0.9982638888888888,0.0,0.6569760277901081,0.6713062482112935,0.8131250000000001,0.010000000000000002,0.37043441250000003,0.41781250000000003
SemgHandGenderCh2,0.7902030446373096,0.19139800798491924,0.45385039804671773,0.4468484719740655,0.8365,0.28300000000000003,0.46683688750000013,0.46075000000000005
SemgHandMovementCh2,0.7902030446373096,0.18554402302636797,0.44848189279640505,0.4431619166723425,0.8365,0.28300000000000003,0.46732860500000023,0.46075000000000005
SemgHandSubjectCh2,0.7902030446373096,0.18554402302636797,0.4470850738594706,0.4417591010834506,0.8365,0.28300000000000003,0.4672179783333333,0.46075000000000005
ShapeletSim,0.6078740918609453,0.12666598146913333,0.3498167585604737,0.35889613169303985,0.64675,0.2305,0.45945414999999995,0.46
ShapesAll,0.9212623293812551,0.035481064946000895,0.35511883683312734,0.35605035869113055,0.8814634146341463,0.051707317073170736,0.45500069390243897,0.4578048780487805
SmallKitchenAppliances,0.998244152221914,0.0,0.746748764101336,0.7902332144909245,0.7834375,0.010000000000000002,0.3358750291666667,0.38343750000000004
SmoothSubspace,0.6328787613335356,0.0011141091780285661,0.13470736875483652,0.054251169737926874,0.91,0.010000000000000002,0.6140273846153848,0.5638461538461539
SonyAIBORobotSurface1,0.6495328710733727,0.02050317316844863,0.24651774617928232,0.2724656444779561,0.91,0.010000000000000002,0.4423913392857143,0.44392857142857145
SonyAIBORobotSurface2,0.6826919270490531,0.01522914149824961,0.26582330264019166,0.28409617178908075,0.91,0.010000000000000002,0.4664962264150943,0.46849056603773587
StarLightCurves,0.8763862226517567,0.07494584537869997,0.4276876233134238,0.4221340972539732,0.91,0.12634146341463415,0.4478867123170731,0.4578048780487805
Strawberry,0.7723973237352992,0.07313910602864704,0.43721134473751805,0.43974842896159294,0.8052380952380953,0.2623809523809524,0.4723389497397654,0.4576190476190476
SwedishLeaf,0.7526491554760399,0.005079257458019848,0.2665574801975882,0.2867622401235369,0.8926923076923077,0.010000000000000002,0.4285015576923077,0.4426923076923077
Symbols,0.7148006444836968,0.03722578498910378,0.3659325780485775,0.3617916883505057,0.8284375,0.010000000000000002,0.4285694125,0.45437500000000003
SyntheticControl,0.6896776342379725,0.0032640702486377293,0.23520173619298157,0.2528397694893733,0.91,0.010000000000000002,0.4578116875,0.46
ToeSegmentation1,0.6665472754246342,0.027655009832503463,0.32576999051693806,0.32950296759122516,0.7929596412556054,0.058430493273542605,0.4471319170403587,0.4539461883408072
ToeSegmentation2,0.716352861319044,0.03585862320579691,0.38064863080533506,0.38791909779900163,0.7300000000000001,0.16381818181818183,0.4436765454545455,0.45181818181818184
